"Timecode","Content","Content_zh"
"00:27:02,978 --> 00:27:09,536","so we ordered a lot of graphics cards just to kind of, trying to reproduce some of the issues that users were running into.","所以我們訂了很多顯示卡，試著重現使用者遇到的一些問題。"
"00:27:09,536 --> 00:27:11,565","Franzke: Oh, this is what compatibility is all about.","Franzke：喔，這就是相容性測試的真諦。"
"00:27:11,565 --> 00:27:17,055","Finding really, really old hardware and putting in your machine and see what happens.","找到非常非常舊的硬體，裝進你的機器裡，看看會發生什麼事。"
"00:27:17,055 --> 00:27:20,547","Franzke: You know, where here in the studio we didn't really have any problems running the game","Franzke：你知道，我們在工作室裡跑遊戲其實沒什麼問題，"
"00:27:20,547 --> 00:27:23,871","and like our external QA partner didn't have any problem running the game,","我們的外部 QA 夥伴跑遊戲也沒什麼問題，"
"00:27:23,871 --> 00:27:30,951","but then as soon as we, you know, we launched it on, you know, on the day for the backers, like immediately people came back,","但我們一在贊助者發行日推出，大家馬上就回報，"
"00:27:30,951 --> 00:27:34,438","oh, the game is crashing or sending out a black screen and stuff like that.","喔，遊戲會當掉，或是出現黑畫面之類的。"
"00:27:34,438 --> 00:27:35,538","That's always like, crap.","那總是會讓人覺得，糟了。"
"00:27:35,538 --> 00:27:40,276","If we would not have done it like that, we would have eventually run into this issues so you know,","如果我們沒有這樣做，遲早還是會遇到這些問題，"
"00:27:40,276 --> 00:27:45,714","on the 28th we would have released the game and people would have had big problems with it and like,","到了 28 號我們正式發行遊戲時，玩家就會遇到大問題，"
"00:27:45,714 --> 00:27:50,120","while crashes are not great, but at least acceptable during a Beta,","雖然當機不算好事，但在 Beta 期間至少還可以接受，"
"00:27:50,120 --> 00:27:53,060","like once the game is out there, you know, it becomes very less acceptable.","可是一旦遊戲正式推出，就會變得很難接受。"
"00:27:54,680 --> 00:27:58,468","Franzke: This VGA out. Haven't seen that in a while.","Franzke：這是 VGA 輸出。好久沒看到這個了。"
"00:27:58,468 --> 00:28:00,947","I don't know if it's even still possible.","我不知道現在還能不能用。"
"00:28:00,947 --> 00:28:04,355","Franzke: I had, I think two crashes on Windows 98.","Franzke：我記得在 Windows 98 上當了兩次。"
"00:28:04,355 --> 00:28:09,507","I mean, I was surprised that you managed to download Steam on that machine, I guess.","我是說，你居然能在那台機器上下載 Steam，我滿驚訝的。"
"00:28:09,507 --> 00:28:15,470","But yeah, unfortunately the game does not run on Windows 98 and I don't think it's part of the minimum requirement.","但很遺憾，遊戲不能在 Windows 98 上跑，而且我不覺得那是最低需求的一部分。"
"00:28:15,470 --> 00:28:19,592","But yeah, that was, that was certainly very funny and surprising for sure.","不過對，那確實很好笑，也很令人意外。"
"00:28:23,256 --> 00:28:25,539","Franzke: I knock on the graphics card right here.","Franzke：我現在先敲敲這張顯示卡。"
"00:28:25,539 --> 00:28:33,607","Romero: And for right now we're in shooting crashes and blockers and people's progress is lost, saved and corrupted stuff like that.","Romero：目前我們在處理當機、阻擋進度的問題，還有玩家進度遺失、存檔毀損之類的狀況。"
"00:28:33,607 --> 00:28:39,135","I mean, for now it's like the forum is the bug list pretty much, 'cause there's so much coming in.","我是說，現在論壇幾乎就是 bug 清單，因為湧進來的東西太多了。"
"00:28:39,135 --> 00:28:47,012","So before I was in, you know, I was looking through our bugs and now I'm looking through all these bugs.","所以以前我是在看我們自己的 bug，現在則是在看這些全部的 bug。"
"00:28:47,012 --> 00:28:48,127","Now they're the testers.","現在他們就是測試人員。"
"00:28:48,127 --> 00:28:49,601","They're reporting the bugs to us.","他們在向我們報告 bug。"
"00:28:49,601 --> 00:28:54,562","We're merely the conduit through which, you know, we get the bugs to developer.","我們只是通道，把 bug 轉給開發者。"
"00:28:54,562 --> 00:29:01,586","Lui: It's nice, I think, for the team to have an overview of how the overall progress is going.","Lui：我覺得讓團隊能掌握整體進度很不錯。"
"00:29:01,586 --> 00:29:08,286","So it's nice to be able to see, like look at the chart and be like, oh, we are constantly going down.","能看著圖表說，喔，我們一直在往下降，感覺很好。"
"00:29:08,286 --> 00:29:19,872","And there are spikes, like this spike over there is when Tim played through the game twice and submitted about fifteen pages of bug fixes.","也會有高峰，像那邊那個高峰，就是 Tim 把遊戲玩了兩遍，提交了大概十五頁 bug 修正的時候。"
"00:29:19,872 --> 00:29:22,466","Schafer: Should realize that it's gotta be done this week.","Schafer：要意識到這週就得完成。"
"00:29:22,466 --> 00:29:27,379","So if there's anything that I really care about getting fixed, I have to make a big stink about it right now.","所以如果有什麼我真的很在意、想修好的東西，我現在就得大聲抱怨。"
"00:29:29,016 --> 00:29:31,735","But making big stinks is what I'm all about.","而大聲抱怨正是我的專長。"
"00:29:31,735 --> 00:29:37,456","The camera's here and then when I click, ah, the camera moves.","攝影機就在這裡，然後我點擊，啊，攝影機就動了。"
"00:29:37,456 --> 00:29:40,377","So annoying.","真煩人"
"00:29:40,377 --> 00:29:44,696","Vella's first step makes camera twitch.","Vella 第一步讓鏡頭抽動。"
"00:29:44,696 --> 00:29:49,211","At the end of the game, there's just a million bugs with things flashing or twitching for one frame.","到了遊戲後段，到處都是東西閃一下或抽動一格的 bug。"
"00:29:49,211 --> 00:29:50,576","Drives me nuts.","我快瘋了"
"00:29:50,576 --> 00:29:54,735","When she gives him the cupcake, that's where the cupcake appears floating in midair for one frame.","她把杯子蛋糕給他的時候，杯子蛋糕會有一格浮在半空中。"
"00:29:54,735 --> 00:29:59,374","Yep. The average player can't say what happened, but they'll just get this weird twitchy feeling","對。一般玩家說不出發生了什麼事，但他們會有那種奇怪的抽動感，"
"00:29:59,374 --> 00:30:03,990","when they're playing the game of like, aaah, something was just, it's like, just a feeling of it not being polished.","玩遊戲時會覺得，啊，好像有什麼，就是感覺不夠打磨。"
"00:30:03,990 --> 00:30:07,393","But I can see, like OK, that camera was wrong for one frame.","但我看得出來，像是，好，那一格鏡頭錯了。"
"00:30:07,393 --> 00:30:09,009","Sometimes I can't even tell if I saw a flash.","有時候我甚至都看不清有沒有看到閃光"
"00:30:09,009 --> 00:30:11,029","Like at the end of that cutscene, I swear I saw a flash.","像那段過場動畫的結尾，我發誓我看到閃了一下。"
"00:30:12,694 --> 00:30:14,181","I'm trying to fix everything.","我在努力修復一切"
"00:30:14,181 --> 00:30:16,149","You can't fix everything.","你不能把一切都修好"
"00:30:16,149 --> 00:30:18,229","The mouse sensitivity is weird, though.","不過滑鼠靈敏度很怪。"
"00:30:23,254 --> 00:30:32,686","Peck: Myself, I've been, I got a couple of small little crashes in the UI, stuff like that, that I've been fixing.","Peck：我自己最近在修 UI 裡幾個小小的當機之類的問題。"
"00:30:32,686 --> 00:30:36,034","And but yeah, mostly like, these are my bugs right now.","不過對，現在大多就是這些是我的 bug。"
"00:30:36,034 --> 00:30:41,475","They all fit on one span of the window, so it's like, things are going well.","它們都塞得進同一個視窗畫面，所以感覺事情進展得不錯。"
"00:30:41,475 --> 00:30:44,254","Schafer: How many bugs are left in Bugzilla?","Schafer：Bugzilla 裡還剩多少 bug？"
"00:30:44,254 --> 00:30:46,486","Is it really a sizeable amount still?","真的還有很多嗎？"
"00:30:48,363 --> 00:30:51,588","Crook: Yeah. I mean these are all, they're all, they're, most of them are minor.","Crook：對。我是說這些都，大部分都只是小問題。"
"00:30:51,588 --> 00:30:53,236","Schafer: Who's making all these bugs?","Schafer：這些 bug 是誰做的？"
"00:30:53,236 --> 00:30:57,344","Crook: I mean they're just minor but we know the game's coming out again, you know, as the final.","Crook：我是說，它們只是小問題，但我們知道遊戲又要以正式版推出了。"
"00:30:57,344 --> 00:31:00,894","So, so we just want to make it as good as we can.","所以我們想盡力而為"
"00:31:00,894 --> 00:31:07,153","We're going to be, most of us will roll off on Monday, onto other things for a while.","我們大多數人週一就會暫時離開，去做別的事情。"
"00:31:07,153 --> 00:31:08,124","And come back.","然後回來"
"00:31:08,124 --> 00:31:09,167","Schafer: OK, great.","Schafer：好極了"
"00:31:09,167 --> 00:31:18,493","Crook: We're going to have to assess at the end of the month, we got to figure out how much work is ready to just start doing.","Crook：我們得在月底評估，弄清楚有多少工作已經準備好可以開始做。"
"00:31:19,654 --> 00:31:24,352","Crook: Sorry. So yeah.","Crook：抱歉。所以對。"
"00:31:24,352 --> 00:31:27,785","Which, you know, some of the script is written but there's still more to go.","你知道，有些劇本已經寫好了，但還有更多要做。"
"00:31:27,785 --> 00:31:33,785","So I'm not sure how much work there will be, just for the first, you know, couple weeks.","所以我不確定前幾週會有多少工作。"
"00:31:33,785 --> 00:31:36,159","So we got to keep people busy, though.","不過我們還是得讓大家有事做。"
"00:31:36,159 --> 00:31:41,359","We had three of our animators actually go off the project now, so they've moved onto other projects.","我們有三位動畫師現在真的離開這個專案了，他們轉去做其他專案。"
"00:31:41,359 --> 00:31:43,137","Roberts: I'm leaving Broken Age.","Roberts：我要離開《Broken Age》了"
"00:31:43,137 --> 00:31:47,528","Because I'm moving onto another unannounced project.","因為我要轉去另一個尚未公布的專案。"
"00:31:47,528 --> 00:31:57,205","And they'll be, the rest of the Broken Age team that's left on that project, they're going to continue on Broken Age Part Two.","剩下還留在《Broken Age》專案上的團隊成員，會繼續做《Broken Age》第二幕。"
"00:31:57,205 --> 00:32:06,887","So yeah, the nature of this new project is such that I don't see myself going over and helping out on Act Two at all.","所以對，這個新專案的性質讓我覺得，我完全不會過去幫第二幕。"
"00:32:06,887 --> 00:32:11,725","But you know, that's famous last words, so it could happen.","但你知道，話說太滿總會出事，所以也不是不可能。"
"00:32:11,725 --> 00:32:17,348","I would love to, at least animate something, but we are getting pretty busy around here with other things","我很想至少做點動畫，但我們這邊因為其他事情變得滿忙的，"
"00:32:17,348 --> 00:32:23,410","so yeah, that, that I can't see happening.","所以對，我看不太可能發生。"
"00:32:23,410 --> 00:32:24,844","Offscreen Voice: Was it nice while it lasted?","畫外音：這段時間還愉快嗎？"
"00:32:24,844 --> 00:32:26,257","Roberts: It was, yeah, yeah.","Roberts：是，是，是。"
"00:32:26,257 --> 00:32:32,785","It was a nice, I wasn't really expecting to work on this project at all, so it was kind of a nice surprise.","很不錯，我本來完全沒想到會參與這個專案，所以算是個很棒的驚喜。"
"00:32:32,785 --> 00:32:35,920","And it was something that I wanted to work on.","而且這是我想參與的東西。"
"00:32:35,920 --> 00:32:40,752","Of course, you know, everyone here wanted to, well, most people here, I can't say everyone,","當然，你知道，這裡每個人都想，嗯，這裡大多數人，我不能說每個人，"
"00:32:40,752 --> 00:32:44,477","but most people here wanted to, you know, at least put their hands on this because,","但這裡大多數人都想至少參與一下，因為，"
"00:32:44,477 --> 00:32:52,589","just because it made history for you know, not to sound too grandiose about it, but that's what it did, right?","因為它創造了歷史，你知道，不是想講得太誇張，但它確實如此，對吧？"
"00:32:52,589 --> 00:32:55,332","I mean, there is history that was made here.","我是說，這裡確實創造了歷史。"
"00:32:55,332 --> 00:33:04,721","And so everyone that saw that, you know, thinks wow, yeah, that's something I at least want to put something in there.","所以每個看到這件事的人都會想，哇，對，那是我至少也想投入一點的東西。"
"00:33:04,721 --> 00:33:12,447","So OK. Goodbye, Broken Age.","好吧。再見，《Broken Age》。"
"00:33:12,447 --> 00:33:19,498","Goodbye 2HB. Goodbye, Maya.","再見，2HB。再見，Maya。"
"00:33:19,498 --> 00:33:23,148","Goodbye Double Fine.","再見，Double Fine。"
"00:33:23,148 --> 00:33:29,653","Schafer: So we'll launch the game tomorrow and hopefully if we're not all here fixing bugs, we'll get to go out and have another,","Schafer：所以我們明天要發行遊戲，希望如果我們不用全都待在這裡修 bug，就能出去再喝一輪，"
"00:33:29,653 --> 00:33:31,982","we'll go back to Red's, I hope.","我希望我們能回 Red’s。"
"00:33:31,982 --> 00:33:33,994","If it's still standing.","如果它還在的話。"
"00:33:33,994 --> 00:33:35,829","And take the team out for drinks.","帶團隊出去喝酒"
"00:33:35,829 --> 00:33:41,230","And before they all roll off, temporarily, onto other projects, I'd like to have them all hang out.","在他們暫時離開去做其他專案之前，我想讓大家一起聚一下。"
"00:33:41,230 --> 00:33:44,125","Go have a drink and celebrate.","去喝一杯慶祝吧"
"00:33:44,125 --> 00:33:49,622","'Cause it's weird, it's like, you wish these launches were super-clean, like everyone could just say, everything was great!","因為這感覺很怪，你會希望這些發行都超乾淨，大家都能直接說，一切都很棒！"
"00:33:49,622 --> 00:33:53,864","So hopefully, I mean, time usually just washes away all the smaller things that happened,","所以希望，我是說，時間通常會沖淡發生過的那些小事，"
"00:33:53,864 --> 00:33:58,428","like that embargo thing and all that other stuff will be forgotten.","像那個禁評期事件，還有其他那些事都會被忘掉。"
"00:33:58,428 --> 00:34:05,440","And people will just remember how we didn't have mouse sensitivity when we launched and now we do.","大家只會記得我們發行時沒有滑鼠靈敏度，現在有了。"
"00:34:05,440 --> 00:34:07,960","No, that won't be the thing. Maybe.","不，那不會是重點。也許吧。"
"00:34:09,835 --> 00:34:13,161","Rice: It's Elijah Wood's birthday today. Bailey: Oh wow.","Rice：今天是 Elijah Wood 的生日。Bailey：喔，哇。"
"00:34:13,161 --> 00:34:16,020","Rice: So this is a good birthday present, right? Bailey: Yeah.","Rice：所以這是很棒的生日禮物，對吧？Bailey：對。"
"00:34:16,021 --> 00:34:19,190","Rice: Tim, call Elijah and wish and wish him a happy birthday.","Rice：Tim，打給 Elijah，祝他生日快樂。"
"00:34:19,190 --> 00:34:21,978","Schafer: Call him? Rice: Yeah, like you do with your mom.","Schafer：打給他？ Rice：是啊，就像你和你媽媽一樣。"
"00:34:21,978 --> 00:34:25,118","Schafer: Hey, Elijah! Happy birthday. Oh, shoot.","Schafer：嘿，Elijah！生日快樂。喔，糟了。"
"00:34:25,120 --> 00:34:31,458","[Phone rings] Bailey: Yeah. It's interesting, though.","[電話鈴聲] Bailey：對。不過這很有趣。"
"00:34:31,458 --> 00:34:34,336","You think about Tim, like he's been working on this game for two years.","想想 Tim，他已經做這款遊戲兩年了。"
"00:34:34,337 --> 00:34:39,829","It's now being commercially released but so much goes into, you know, the lead up to this.","現在終於正式上市了，但在這之前其實投入了很多。"
"00:34:39,829 --> 00:34:40,949","And I guess I could understand.","我想我能理解"
"00:34:40,949 --> 00:34:47,525","It's a little anti-climactic when you sit here and you just kind of like refresh the webpage and look at numbers.","你坐在這裡，只是不停重新整理網頁、看數字，感覺有點不夠戲劇性。"
"00:34:47,525 --> 00:34:55,686","The interesting thing about price, though, is you know, we can charge 29 bucks and because I used to actually work with, you know,","不過價格有趣的地方在於，我們可以賣 29 美元，而且因為我以前其實待過，"
"00:34:55,686 --> 00:35:03,479","at a publisher who did, you know, significant retail presence, I know the PNLs and like, literally our profit margin","待過一家零售通路很大的發行商，我知道損益表，所以我們的利潤率，"
"00:35:03,479 --> 00:35:11,399","and the profit margin we have for like a $59 box product, are the same thing, because with the box product you got to like,","跟一款 59 美元盒裝產品的利潤率其實是一樣的，因為盒裝產品要，"
"00:35:11,399 --> 00:35:12,469","you got preprint the stuff.","要預先印製那些東西。"
"00:35:12,469 --> 00:35:17,349","You got all the materials, you got to ship it and you got to store it, you know.","你要準備所有物料，要運送，還要倉儲。"
"00:35:17,349 --> 00:35:19,094","The extra store will take their cut.","零售商也會抽成。"
"00:35:19,094 --> 00:35:21,623","There will be price protection involved.","還會牽涉到價格保障。"
"00:35:21,623 --> 00:35:24,156","There's a huge amount of expense that goes into it.","花費很大"
"00:35:24,156 --> 00:35:27,612","That like, yeah.","就像，是的。"
"00:35:27,612 --> 00:35:29,449","Profit margins are equal.","利潤率是相等的。"
"00:35:29,449 --> 00:35:34,569","So we just got a lot, we got rid of a lot of waste.","所以我們只是省掉了很多、很多浪費。"
"00:35:34,569 --> 00:35:36,689","Oh, there it is.","找到了"
"00:35:36,689 --> 00:35:38,447","Rice: All right, Justin. We're live.","Rice：好，Justin。我們上線了。"
"00:35:38,447 --> 00:35:39,749","Bailey: I see it.","Bailey：我看到了"
"00:35:39,749 --> 00:35:41,454","Rice: I'm going to push the update.","Rice：我要推送更新了。"
"00:35:41,454 --> 00:35:45,065","Bailey: Good. Do it.","Bailey：很好 快"
"00:35:45,065 --> 00:35:49,425","Bailey: And it's interesting, 'cause they'd like, when you get in a top position, it's probably at least a hundred, a hundred thousand,","Bailey：而且很有趣，因為如果登上榜首，那大概至少有十萬、十萬，"
"00:35:49,425 --> 00:35:51,133","a hundred fifty thousand dollars.","十五萬美元。"
"00:35:51,133 --> 00:35:56,937","But it actually could be way north of that and I'd have no idea, because you're number one, right?","但實際上可能遠高於那個數字，而我也不會知道，因為你是第一名，對吧？"
"00:35:56,937 --> 00:35:59,655","So you could be very, very high up.","所以可能會高非常、非常多。"
"00:35:59,655 --> 00:36:03,926","But that would be, that would be an amazing day for us, we could, we get in that top position.","如果我們能登上第一，那對我們來說會是超棒的一天。"
"00:36:03,926 --> 00:36:06,846","Schafer: Sitting at my desk, looking at a picture of me sitting at my desk.","Schafer：坐在我的桌前，看著我坐在桌前的照片。"
"00:36:09,420 --> 00:36:18,745","[Hums to self] Bailey: It's about an hour and twenty minutes delayed.","[哼歌] Bailey：大概延遲一小時二十分鐘。"
"00:36:20,850 --> 00:36:25,516","Bailey: Yeah. That will be when we actually see something.","Bailey：對。到時候我們才真的會看到一些東西。"
"00:36:25,516 --> 00:36:29,181","I'll know at 11:00, 11:30 I'll have like the first indication.","11 點，11 點半，我應該就會有第一個跡象。"
"00:36:29,181 --> 00:36:32,801","I think the hour of celebration or reckoning or both has come.","我想慶祝、算帳，或兩者兼具的時刻到了。"
"00:36:35,144 --> 00:36:36,401","Schafer: No, it's not Raz.","Schafer：不，不是 Raz。"
"00:36:36,401 --> 00:36:39,092","I don't see any boobs or penises on anything.","我沒看到任何胸部或陰莖之類的東西。"
"00:36:39,092 --> 00:36:40,312","Choy: You have to look more closely.","Choy：你得仔細看看"
"00:36:42,700 --> 00:36:44,020","Are you guys doing a standup?","你們要開站會嗎？"
"00:36:44,020 --> 00:36:47,000","Schafer: We are going to do standups. Standups? Rice: Yeah.","Schafer：我們要開站會。站會？Rice：對。"
"00:36:47,100 --> 00:36:50,141","Schafer: Whoever's left, whoever's left on the team, come on to standups.","Schafer：團隊裡還在的人，剩下的人，都過來開站會。"
"00:36:50,399 --> 00:36:55,357","We're now live for everybody in the world to buy the game on Steam.","現在全世界的人都可以在 Steam 上買這款遊戲了。"
"00:36:55,357 --> 00:36:56,818","That's it. That's all I had to say today.","好了 這就是我今天要說的"
"00:36:56,818 --> 00:36:59,368","OK. So Part Two.","好 第二部分"
"00:36:59,368 --> 00:37:00,248","It's like a back massage.","就像背部按摩"
"00:37:00,248 --> 00:37:01,620","Bailey: Oh yeah, it's pretty good. That's not bad.","Bailey：喔對，還不錯。這樣不錯。"
"00:37:03,600 --> 00:37:05,920","It's not, it's not as good now.","現在沒那麼好了。"
"00:37:08,060 --> 00:37:10,084","Schafer: It feels nice, yeah.","Schafer：感覺不錯"
"00:37:10,084 --> 00:37:15,825","Schafer: So if the sales aren't good, I'll immediately smash your head with this so that you won't ever feel the pain of seeing bad sales.","Schafer：所以如果銷量不好，我會立刻用這個砸爛你的頭，這樣你就不用承受看到銷量慘淡的痛苦了。"
"00:37:15,825 --> 00:37:17,376","Bailey: That's good. Deal.","Bailey：很好 好"
"00:37:17,480 --> 00:37:19,383","All right, we doing this?","好，我們要看了嗎？"
"00:37:19,528 --> 00:37:25,688","Let's do, let's first just look at the, let's see, Top Ten List.","我們先看看前十名"
"00:37:25,949 --> 00:37:27,103","Schafer: I'm not going to look.","Schafer：我不會看的"
"00:37:27,103 --> 00:37:28,083","Bailey: Not looking at Top Ten List?","Bailey：不看前十名榜單？"
"00:37:28,083 --> 00:37:29,120","Schafer: I don't care.","Schafer：我不在乎"
"00:37:29,120 --> 00:37:30,319","I'm not going to look.","我不會看的"
"00:37:30,319 --> 00:37:32,019","Oh, oh! Look at that! Schafer: Holy cow!","喔，喔！看那個！Schafer：天啊！"
"00:37:32,019 --> 00:37:35,034","Bailey: You're number two on new releases.","Bailey：你在新品上市榜第二名。"
"00:37:35,034 --> 00:37:37,483","That has no component to sales.","那跟銷量沒有關係。"
"00:37:37,483 --> 00:37:41,257","But top sellers, we are number four.","但在暢銷榜上，我們第四名。"
"00:37:41,257 --> 00:37:43,871","All right. Whoa!","好吧 哇！"
"00:37:43,871 --> 00:37:45,271","Oh, this is refreshed, the new releases.","喔，新品上市榜重新整理了。"
"00:37:45,280 --> 00:37:48,500","Still number four. OK, cool. Sweet!","還是第四名。好，酷。太棒了！"
"00:37:51,735 --> 00:37:54,496","Fifty thousand, five ninety-nine.","五萬零五百九十九。"
"00:37:54,496 --> 00:37:57,885","That is 2,000 units on Steam. Schafer: Hm?","那是在 Steam 上賣了兩千套。Schafer：嗯？"
"00:37:57,885 --> 00:38:00,023","Bailey: That's 2,000 units on Steam.","Bailey：那是在 Steam 上賣了兩千套。"
"00:38:00,023 --> 00:38:01,158","Yeah, this is good.","很好"
"00:38:01,158 --> 00:38:02,567","This will, this will be good.","這會很好"
"00:38:02,567 --> 00:38:09,722","If we get over 100K today, I think that's a, it's a very good day and I expect that European sales usually hit overnight.","如果我們今天超過十萬，我覺得那就是很棒的一天，而且歐洲銷量通常會在半夜進來。"
"00:38:09,722 --> 00:38:11,782","So I would expect that to double.","所以我希望這能加倍"
"00:38:13,736 --> 00:38:15,671","Schafer: Double today. Bailey: Yeah.","Schafer：今天翻倍。Bailey：對。"
"00:38:15,671 --> 00:38:16,814","Schafer: By the end of the day.","Schafer：今天結束前。"
"00:38:16,814 --> 00:38:18,178","Bailey: Between now and the end of the day.","Bailey：從現在到今天結束前。"
"00:38:18,178 --> 00:38:19,479","Probably more than double.","可能不止兩倍"
"00:38:19,479 --> 00:38:28,554","This'll probably be like, I would say like 125 to 150, which means that would take us over nine million for Double Fine lifetime revenue.","這大概會到，我會說 12.5 萬到 15 萬，這表示 Double Fine 的累計營收會突破九百萬。"
"00:38:28,554 --> 00:38:31,840","Schafer: Hm. Bailey: It should be very, very cool.","Schafer：嗯 應該很酷"
"00:38:31,840 --> 00:38:38,338","And I actually expect, I do expect the trend of the game to, to stay, we'll have a spike right now,","而且我其實預期，我確實覺得這款遊戲的趨勢會維持，現在會有一波高峰，"
"00:38:38,338 --> 00:38:41,778","but I think it'll actually be pretty steady after that, so that's good.","但我覺得之後會很穩定 所以很好"
"00:38:45,052 --> 00:38:47,314","Schafer: OK. Now pretend the cameras are off now. Bailey: Now pretend?","Schafer：好。現在假裝攝影機已經關了。Bailey：現在假裝？"
"00:38:47,314 --> 00:38:48,789","Schafer: Tell me what you really think.","Schafer：告訴我你真正的想法"
"00:38:48,789 --> 00:38:50,416","Bailey: It's, it is what I expected.","Bailey：這是我預期中的狀況。"
"00:38:50,416 --> 00:38:55,916","Schafer: OK. All right. Exciting. Cool.","Schafer：好。好吧。很刺激。酷。"
"00:38:57,852 --> 00:38:59,178","Now I don't want anyone to look at it.","現在我不想讓任何人看"
"00:38:59,178 --> 00:39:01,838","I guess I'll go deisgn Act Two. Bailey: Yeah.","我想我去設計第二幕好了。Bailey：對。"
"00:39:02,840 --> 00:39:03,995","Offscreen Voice: It's not earth shattering.","畫外音：這不是什麼驚天動地的數字。"
"00:39:04,588 --> 00:39:11,901","Bailey: It's not earth shattering, but it's on track to do what we need it to do, you know, to get the game finished this year.","Bailey：不是驚天動地，但它正朝著我們需要的方向前進，可以讓我們今年把遊戲完成。"
"00:39:13,812 --> 00:39:18,628","The only unfortunate part about this whole thing is that I was looking at all of our news broadcasts","這整件事唯一可惜的是，我在看我們所有的新聞曝光，"
"00:39:18,628 --> 00:39:25,488","and basically, you know, basic, all the news, all the exposure went out when the backers got it, like two weeks ago.","基本上，所有新聞、所有曝光都在贊助者拿到遊戲時出去了，也就是大概兩週前。"
"00:39:25,488 --> 00:39:32,648","And people didn't have a chance to literally like, you know, hey, I'll, I'll buy it now and I can play it now.","大家當時沒辦法真的說，嘿，我現在買，現在就能玩。"
"00:39:32,648 --> 00:39:41,600","You know, that's hard to, as like a, you know, value proposition for consumer, it's hard to see everybody talking about this and be like,","你知道，從消費者的價值主張來看，看到大家都在討論這個，卻發現，"
"00:39:41,600 --> 00:39:45,963","oh, I can pay for it and still not get to play it.","喔，我可以付錢，但還是玩不到。"
"00:39:45,963 --> 00:39:48,063","But it'll hopefully come out in the wash.","不過希望最後會自己平衡掉。"
"00:39:55,221 --> 00:39:59,801","Rice: It was the last, I think it was very last bar.","Rice：是在最後一個，我想是最後一根柱狀圖。"
"00:40:03,886 --> 00:40:08,052","Schafer: I think we can confirm now that we chose the right code name.","Schafer：我想我們現在可以確認 我們選擇了正確的代號"
"00:40:08,052 --> 00:40:11,299","It didn't sound like the right code name, but now look at it; Red's.","當初聽起來不像正確的代號，但現在看看，Red’s。"
"00:40:11,299 --> 00:40:35,980","[Music] Schafer: Yeah. Let's talk about that.","[音樂] Schafer：對。我們來談談這件事。"
"00:40:35,980 --> 00:40:37,483","We shipped Red's last week.","我們上週推出了 Red’s。"
"00:40:37,483 --> 00:40:38,544","I don't know if you guys noticed that.","我不知道你們有沒有注意到這個"
"00:40:38,544 --> 00:40:40,193","We shipped the game, it was awesome.","我們推出了遊戲，超棒的。"
"00:40:40,193 --> 00:40:41,364","Yah, Red's.","對，Red’s。"
"00:40:41,364 --> 00:40:43,079","[Applause].","[掌聲]"
"00:40:43,079 --> 00:40:46,121","It has, everybody claps just for shipping it.","你看，大家只是因為推出了就鼓掌。"
"00:40:46,121 --> 00:40:48,891","I think I've gotten claps out of you guys for like...","我想我已經讓你們為這種事鼓掌過……"
"00:40:49,420 --> 00:40:50,406","Schafer: Yeah, yeah, yeah.","Schafer：是啊，是啊，是啊。"
"00:40:50,406 --> 00:40:52,235","And next week we're shipping Red's.","下週我們要推出 Red’s。"
"00:40:52,815 --> 00:40:56,644","Next week it'll mean two weeks since we shipped Red's.","下週就代表 Red’s 推出滿兩週。"
"00:40:56,644 --> 00:41:02,279","It has, it has made about $800,000 so far on the old Steam thing, which is fun.","到目前為止，它在老 Steam 上大概賺了 80 萬美元，挺有趣的。"
"00:41:02,279 --> 00:41:09,578","And so that is an interesting number, because it was kind of a relief in one hand because we were like,","所以那是個有趣的數字，因為某方面來說算是鬆了一口氣，因為我們本來想，"
"00:41:09,578 --> 00:41:12,504","get a lot of possibilities here, one of them is that we don't make any money.","這裡有很多可能性，其中一個是我們一毛錢都賺不到。"
"00:41:12,504 --> 00:41:14,275","No one buys the game, we can't make Part Two.","沒有人買這款遊戲，我們就做不了第二幕。"
"00:41:14,275 --> 00:41:17,554","But I think we, luckily, because that would have been an easy update, though.","但我覺得我們很幸運，雖然那樣更新起來倒是很簡單。"
"00:41:17,554 --> 00:41:23,240","We would have called all the haters on Twitter and just been like, you guys were totally right.","我們就會去 Twitter 上找所有酸民，然後說，你們完全說對了。"
"00:41:23,240 --> 00:41:25,804","I'm a huge a-hole and we're not going to do Part Two.","我是個超級混蛋，我們不做第二幕了。"
"00:41:25,804 --> 00:41:28,701","But that doesn't seem to be a risk anymore.","但那看起來已經不再是風險了。"
"00:41:28,701 --> 00:41:33,370","We are also kind of hoping like, what if it made so much money that we didn't ever have to make games anymore?","如果它賺了那麼多錢 我們就不用再做遊戲了"
"00:41:33,370 --> 00:41:35,881","We could just hang around and play games all day in the office.","我們可以整天待在辦公室玩遊戲"
"00:41:37,520 --> 00:41:39,314","Schafer: And we also don't make Act Two.","Schafer：我們也不做第二幕"
"00:41:39,320 --> 00:41:41,280","Yeah, either way Act Two is like.","對，不管怎樣第二幕就是……"
"00:41:43,591 --> 00:41:52,019","Yeah, I mean, that's not a big enough number that we're going to be immediately, completely independent of publishers this year,","對，我是說，這個數字還沒大到讓我們今年馬上完全不需要發行商，"
"00:41:52,019 --> 00:41:54,438","like it was a secret back in my head, kind of hope.","雖然我腦中暗暗有這種希望。"
